gpu_name,year,shader_cores,memory_bandwidth,boost_clock,tdp,transistors,process_nm,die_size,compute_index,memory_pressure_ratio,perf_per_watt,transistor_density,log_transistors,expected_log_transistors,moore_deviation
video xpression,2024.0,480.0,496.0,1250.0,50.0,1.0,600.0,90.0,600000.0,1207.2434607645876,11764.70588235294,0.01098901098901099,0.6931471805599453,3.3314383390085567,-0.07630918228861328
video xpression,2024.0,480.0,496.0,1250.0,50.0,1.0,600.0,90.0,600000.0,1207.2434607645876,11764.70588235294,0.01098901098901099,0.6931471805599453,3.3314383390085567,-0.07630918228861328
3d rage iic agp,2024.0,480.0,664.0,1250.0,50.0,5.0,500.0,39.0,600000.0,902.2556390977444,11764.70588235294,0.125,1.791759469228055,3.3314383390085567,-0.07630918228861328
3d rage iic pci,2024.0,480.0,664.0,1250.0,50.0,5.0,500.0,39.0,600000.0,902.2556390977444,11764.70588235294,0.125,1.791759469228055,3.3314383390085567,-0.07630918228861328
3d rage pro agp,2024.0,480.0,600.0,1250.0,50.0,8.0,350.0,47.0,600000.0,998.3361064891847,11764.70588235294,0.16666666666666666,2.1972245773362196,3.3314383390085567,-0.07630918228861328
3d rage pro agp 2x,2024.0,480.0,600.0,1250.0,50.0,8.0,350.0,47.0,600000.0,998.3361064891847,11764.70588235294,0.16666666666666666,2.1972245773362196,3.3314383390085567,-0.07630918228861328
3d rage pro pci,2024.0,480.0,600.0,1250.0,50.0,8.0,350.0,47.0,600000.0,998.3361064891847,11764.70588235294,0.16666666666666666,2.1972245773362196,3.3314383390085567,-0.07630918228861328
rage lt pro agp,2024.0,480.0,800.0,1250.0,50.0,1.0,500.0,90.0,600000.0,749.0636704119851,11764.70588235294,0.01098901098901099,0.6931471805599453,3.3314383390085567,-0.07630918228861328
rage lt pro agp,2024.0,480.0,800.0,1250.0,50.0,1.0,500.0,90.0,600000.0,749.0636704119851,11764.70588235294,0.01098901098901099,0.6931471805599453,3.3314383390085567,-0.07630918228861328
rage pro turbo agp,2024.0,480.0,600.0,1250.0,50.0,8.0,350.0,67.0,600000.0,998.3361064891847,11764.70588235294,0.11764705882352941,2.1972245773362196,3.3314383390085567,-0.07630918228861328
rage pro turbo pci,2024.0,480.0,600.0,1250.0,50.0,8.0,350.0,67.0,600000.0,998.3361064891847,11764.70588235294,0.11764705882352941,2.1972245773362196,3.3314383390085567,-0.07630918228861328
xpert xl agp 2x,2024.0,480.0,800.0,1250.0,50.0,8.0,350.0,47.0,600000.0,749.0636704119851,11764.70588235294,0.16666666666666666,2.1972245773362196,3.3314383390085567,-0.07630918228861328
riva 128,2024.0,480.0,1.6,1250.0,4.0,4.0,350.0,71.0,600000.0,230769.23076923075,120000.0,0.05555555555555555,1.6094379124341003,3.3314383390085567,-0.07630918228861328
riva 128 pci,2024.0,480.0,1.6,1250.0,4.0,4.0,350.0,71.0,600000.0,230769.23076923075,120000.0,0.05555555555555555,1.6094379124341003,3.3314383390085567,-0.07630918228861328
6326,2024.0,480.0,400.0,1250.0,50.0,29.0,350.0,154.0,600000.0,1496.2593516209477,11764.70588235294,0.1870967741935484,3.4011973816621555,3.3314383390085567,-0.07630918228861328
6326 agp,2024.0,480.0,720.0,1250.0,50.0,29.0,350.0,154.0,600000.0,832.1775312066575,11764.70588235294,0.1870967741935484,3.4011973816621555,3.3314383390085567,-0.07630918228861328
playstation gpu 350nm,2024.0,480.0,132.0,1250.0,10.0,1.0,350.0,128.0,600000.0,4511.278195488721,54545.454545454544,0.007751937984496124,0.6931471805599453,3.3314383390085567,-0.07630918228861328
voodoo banshee agp 16 mb,2024.0,480.0,1.6,1250.0,15.0,4.0,350.0,137.0,600000.0,230769.23076923075,37500.0,0.028985507246376812,1.6094379124341003,3.3314383390085567,-0.07630918228861328
voodoo banshee pci 16 mb,2024.0,480.0,1.6,1250.0,15.0,4.0,350.0,137.0,600000.0,230769.23076923075,37500.0,0.028985507246376812,1.6094379124341003,3.3314383390085567,-0.07630918228861328
voodoo2 12 mb,2024.0,480.0,2.16,1250.0,15.0,4.0,350.0,119.0,600000.0,189873.41772151898,37500.0,0.03333333333333333,1.6094379124341003,3.3314383390085567,-0.07630918228861328
voodoo2 8 mb,2024.0,480.0,2.16,1250.0,15.0,4.0,350.0,119.0,600000.0,189873.41772151898,37500.0,0.03333333333333333,1.6094379124341003,3.3314383390085567,-0.07630918228861328
rage 128 gl,2024.0,480.0,960.0,1250.0,50.0,8.0,250.0,89.0,600000.0,624.3496357960457,11764.70588235294,0.08888888888888889,2.1972245773362196,3.3314383390085567,-0.07630918228861328
rage 128 gl pci,2024.0,480.0,1.648,1250.0,50.0,8.0,250.0,89.0,600000.0,226586.10271903325,11764.70588235294,0.08888888888888889,2.1972245773362196,3.3314383390085567,-0.07630918228861328
rage 128 pro ultra gl,2024.0,480.0,2.08,1250.0,50.0,8.0,250.0,89.0,600000.0,194805.1948051948,11764.70588235294,0.08888888888888889,2.1972245773362196,3.3314383390085567,-0.07630918228861328
rage 128 vr agp,2024.0,480.0,2.0,1250.0,50.0,8.0,250.0,89.0,600000.0,200000.0,11764.70588235294,0.08888888888888889,2.1972245773362196,3.3314383390085567,-0.07630918228861328
rage 128 vr pci,2024.0,480.0,2.0,1250.0,50.0,8.0,250.0,89.0,600000.0,200000.0,11764.70588235294,0.08888888888888889,2.1972245773362196,3.3314383390085567,-0.07630918228861328
rage xl pci,2024.0,480.0,664.0,1250.0,50.0,8.0,350.0,47.0,600000.0,902.2556390977444,11764.70588235294,0.16666666666666666,2.1972245773362196,3.3314383390085567,-0.07630918228861328
i740,2024.0,480.0,800.0,1250.0,50.0,29.0,150.0,154.0,600000.0,749.0636704119851,11764.70588235294,0.1870967741935484,3.4011973816621555,3.3314383390085567,-0.07630918228861328
i740 8 mb,2024.0,480.0,800.0,1250.0,50.0,29.0,150.0,154.0,600000.0,749.0636704119851,11764.70588235294,0.1870967741935484,3.4011973816621555,3.3314383390085567,-0.07630918228861328
i740 graphics,2024.0,480.0,40.0,1250.0,50.0,29.0,150.0,154.0,600000.0,14634.146341463415,11764.70588235294,0.1870967741935484,3.4011973816621555,3.3314383390085567,-0.07630918228861328
i752 graphics,2024.0,480.0,40.0,1250.0,50.0,29.0,150.0,154.0,600000.0,14634.146341463415,11764.70588235294,0.1870967741935484,3.4011973816621555,3.3314383390085567,-0.07630918228861328
