gpu_name,year,shader_cores,memory_bandwidth,boost_clock,tdp,transistors,process_nm,die_size
i830m graphics,,480.0,40.0,200.0,50.0,29.0,150.0,154.0
millennium g550,,480.0,2.656,1250.0,50.0,10.0,180.0,154.0
millennium g550 pcie,,480.0,2.656,1250.0,50.0,10.0,180.0,154.0
2 go 100,,480.0,1.328,1250.0,2.0,20.0,180.0,64.0
2 go 200,,480.0,2.656,1250.0,2.0,20.0,180.0,64.0
2 mx nforce 220,,480.0,40.0,1250.0,50.0,20.0,180.0,65.0
2 mx nforce 420,,480.0,40.0,1250.0,50.0,20.0,180.0,65.0
2 mx 200,,480.0,1.328,1250.0,50.0,20.0,180.0,64.0
2 mx 200 lp,,480.0,1.328,1250.0,50.0,20.0,180.0,64.0
2 mx 200 pci,,480.0,1.328,1250.0,50.0,20.0,180.0,64.0
2 mx 400,,480.0,2.656,1250.0,50.0,20.0,180.0,64.0
2 mx 400 pci,,480.0,2.656,1250.0,50.0,20.0,180.0,64.0
2 ti,,480.0,6.4,1250.0,50.0,25.0,180.0,88.0
3,,480.0,7.36,1250.0,50.0,57.0,150.0,128.0
3 ti200,,480.0,6.4,1250.0,50.0,57.0,150.0,128.0
3 ti500,,480.0,8.0,1250.0,50.0,57.0,150.0,128.0
quadro dcc,,480.0,3.68,1250.0,50.0,57.0,150.0,128.0
quadro2 go,,480.0,2.896,1250.0,50.0,20.0,180.0,64.0
quadro2 pro,,480.0,8.0,1250.0,50.0,25.0,180.0,88.0
xbox gpu,,480.0,6.4,1250.0,50.0,57.0,150.0,142.0
playstation 2 gpu 180nm,,480.0,48.0,1250.0,79.0,54.0,180.0,188.0
stream processor,,480.0,41.47,1250.0,165.0,384.0,90.0,352.0
firestream 9170,,320.0,51.33,1250.0,105.0,666.0,55.0,192.0
firestream 9250,,800.0,63.55,1250.0,150.0,956.0,55.0,256.0
firestream 9270,,800.0,115.2,1250.0,160.0,956.0,55.0,256.0
hd 6570m mac edition,,400.0,25.6,1250.0,30.0,627.0,40.0,104.0
firepro m3900,,160.0,14.4,1250.0,20.0,370.0,40.0,67.0
firepro rg220,,80.0,51.2,1250.0,35.0,242.0,55.0,73.0
firepro rg220a,,80.0,51.2,1250.0,35.0,242.0,55.0,73.0
firestream 9350,,1440.0,128.0,1250.0,150.0,2.0,40.0,334.0
firestream 9370,,1600.0,147.2,1250.0,225.0,2.0,40.0,334.0
hd 6250 igp,,80.0,40.0,1250.0,9.0,450.0,40.0,75.0
hd 6310 igp,,80.0,40.0,1250.0,18.0,450.0,40.0,75.0
hd 6310 igp,,80.0,40.0,1250.0,18.0,450.0,40.0,75.0
hd 6330m,,80.0,12.8,1250.0,7.0,292.0,40.0,59.0
hd 6350m,,80.0,12.8,1250.0,7.0,292.0,40.0,59.0
hd 6370m,,80.0,12.8,1250.0,11.0,292.0,40.0,59.0
hd 6530m,,400.0,28.8,1250.0,26.0,627.0,40.0,104.0
hd 6550m,,400.0,28.8,1250.0,26.0,627.0,40.0,104.0
hd 6550m,,400.0,28.8,1250.0,26.0,2.0,40.0,334.0
hd 6570m,,400.0,25.6,1250.0,30.0,627.0,40.0,104.0
hd 6850,,960.0,128.0,1250.0,127.0,1.0,40.0,255.0
hd 6870,,1120.0,134.4,1250.0,151.0,1.0,40.0,255.0
hd 6950,,1408.0,160.0,1250.0,200.0,2.0,40.0,389.0
hd 6970,,1536.0,176.0,1250.0,250.0,2.0,40.0,389.0
firepro 2270,,80.0,9.6,1250.0,15.0,292.0,40.0,59.0
firepro 2270 pcie x1,,80.0,9.6,1250.0,15.0,292.0,40.0,59.0
firepro m5950,,480.0,57.6,1250.0,35.0,716.0,40.0,118.0
firepro m8900,,960.0,115.2,1250.0,75.0,1.0,40.0,212.0
firepro v4900,,480.0,64.0,1250.0,75.0,716.0,40.0,118.0
firepro v5900,,512.0,64.0,1250.0,75.0,2.0,40.0,389.0
firepro v7900,,1280.0,160.0,1250.0,150.0,2.0,40.0,389.0
firepro v7900 sdi,,1280.0,160.0,1250.0,150.0,2.0,40.0,389.0
e6460,,160.0,25.6,1250.0,25.0,370.0,40.0,67.0
e6760 mxm,,480.0,51.2,1250.0,45.0,716.0,40.0,118.0
e6760 pcie,,480.0,51.2,1250.0,45.0,716.0,40.0,118.0
hd 6230,,80.0,10.67,1250.0,19.0,292.0,40.0,59.0
hd 6250,,80.0,8.0,1250.0,19.0,292.0,40.0,59.0
hd 6290,,80.0,12.8,1250.0,19.0,292.0,40.0,59.0
hd 6290 igp,,80.0,40.0,1250.0,9.0,450.0,40.0,75.0
hd 6320 igp,,80.0,40.0,1250.0,18.0,450.0,40.0,75.0
hd 6350,,80.0,8.0,1250.0,19.0,292.0,40.0,59.0
hd 6350,,80.0,6.4,1250.0,19.0,292.0,40.0,59.0
hd 6350a,,80.0,12.8,1250.0,25.0,292.0,40.0,59.0
